"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"3618",7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,5
"4865",6,0.41,0.23,1.1,0.066,22,148,0.99266,3.3,0.47,9.63333333333333,5
"497",7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
"3376",7.8,0.22,0.26,9,0.047,38,132,0.997,3.25,0.53,10.2,6
"2903",6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5
"449",6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
"2166",7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,5
"1103",6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,5
"3190",6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2,5
"595",6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
"166",7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5
"1343",8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6
"2771",6.4,0.44,0.44,14.4,0.048,29,228,0.99955,3.26,0.54,8.8,7
"2324",7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,6
"48",6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5
"3671",6.2,0.21,0.18,11.6,0.044,61,155,0.99655,3.14,0.52,9.4,6
"184",6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,6
"268",5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5
"3212",8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6
"2313",9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
"1427",7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6
"2023",7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,6
"1531",7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5
"4364",7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5
"4113",6,0.2,0.25,2,0.041,30,95,0.99078,3.27,0.56,11.1,6
"4883",5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7,5
"4459",6.6,0.35,0.26,2.7,0.045,19,129,0.98952,3.24,0.48,13,7
"3994",6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
"83",7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5
"663",7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,4
"1838",7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7
"2482",6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
"543",5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6
"4784",6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6
"1139",9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
"3660",5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8
"1770",7.7,0.43,0.28,4.5,0.046,33,102,0.9918,3.16,0.56,12.2,7
"1591",7.9,0.14,0.74,1.2,0.028,30,165,0.991,3.08,0.82,12.3,6
"4311",5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,6
"1662",6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,6
"2300",7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7
"258",6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
"3493",6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7
"2206",7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5
"3371",6,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,6
"3045",6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3,6
"2593",7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,5
"3854",6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7
"1066",8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
"135",6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5
"3173",6.7,0.33,0.36,6.6,0.042,34,116,0.99123,2.97,0.31,12.2,8
"3213",6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,5
"3855",5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,6
"755",5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5
"4685",6,0.24,0.34,1,0.036,52,184,0.99097,3.44,0.44,11.45,6
"2260",7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
"256",6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8
"516",6.1,0.31,0.26,2.2,0.051,28,167,0.9926,3.37,0.47,10.4,6
"4775",7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2,4
"3822",6.9,0.28,0.28,12.2,0.042,52,139,0.99522,3.03,0.56,10.4,6
"2044",7.4,0.18,0.34,2.7,0.03,30,107,0.992,2.97,0.53,11,6
"3815",7.4,0.34,0.28,12.1,0.049,31,149,0.99677,3.22,0.49,10.3,5
"3972",6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6
"3761",7.8,0.2,0.32,5,0.016,31,101,0.99186,2.99,0.39,11,6
"3402",8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,5
"1690",7.1,0.16,0.25,1.3,0.034,28,123,0.9915,3.27,0.55,11.4,6
"914",5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
"4376",6,0.32,0.32,4.8,0.041,40,186,0.99235,3.22,0.54,11,6
"3512",6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,7
"393",6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6
"4114",6.1,0.17,0.29,1.1,0.041,32,92,0.99036,3.26,0.57,11.2,6
"107",7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5
"2920",6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5
"1950",6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,5
"829",7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7
"3347",6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,6
"210",6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6
"502",6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6
"2659",6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,7
"1545",8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5
"3741",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
"3781",6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5
"3734",6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,6
"3035",6.9,0.25,0.47,8.4,0.042,36,156,0.99604,3.15,0.55,9.4,6
"1094",8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7
"4785",6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
"1226",6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6
"3132",6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,5
"3405",5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,6
"3764",6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,5
"3661",5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8
"4299",5.6,0.26,0,10.2,0.038,13,111,0.99315,3.44,0.46,12.4,6
"4317",7.2,0.585,0.2,10.4,0.086,17,94,0.99681,3.13,0.4,9.4,5
"3483",5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,8
"541",6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4
"2815",6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7
"1444",7,0.18,0.49,5.3,0.04,34,125,0.9914,3.24,0.4,12.2,6
"4236",6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
"1917",6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5
"783",6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7
"4041",6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5
"4535",6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,6
"3359",6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6
"3256",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
"3079",7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,5
"2425",6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
"2656",6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,5
"1847",7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,5
"3868",7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5
"4292",7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5
"3710",6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1,5
"573",6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5
"1644",8.1,0.3,0.49,12.3,0.049,50,144,0.9971,3.09,0.57,10.2,7
"1705",6.7,0.31,0.42,6.4,0.057,25,148,0.9955,3.16,0.45,9.6,5
"4030",6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11,6
"309",6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4,7
"3873",7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6,4
"874",10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3
"2136",7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
"2606",7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
"2894",6.2,0.16,0.34,1.7,0.038,85,153,0.9909,3.33,0.86,12,7
"3851",6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6
"2466",7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,5
"1852",6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6
"2721",7.5,0.26,0.3,4.6,0.027,29,92,0.99085,3.15,0.38,12,7
"1977",6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,5
"2994",6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
"866",6.1,0.27,0.33,2.2,0.021,26,117,0.9886,3.12,0.3,12.5,6
"3458",6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,7
"1230",8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,3
"2959",7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,5
"2852",7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,5
"545",6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6
"3988",7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6
"1411",7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6,6
"197",6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5
"462",7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5
"3287",6.8,0.23,0.31,2.8,0.047,40,122,0.99126,3.06,0.64,10.9,7
"3200",6.8,0.21,0.4,6.3,0.032,40,121,0.99214,3.18,0.53,12,7
"2112",6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
"4384",6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.3333333333333,6
"4323",7.4,0.16,0.33,1.2,0.042,47,121,0.99198,3.04,0.68,10.5,7
"2298",6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6
"1835",6.4,0.21,0.3,5.6,0.044,43,160,0.9949,3.6,0.41,10.6,6
"1937",9.2,0.27,0.34,10.5,0.043,49,228,0.9974,3.04,0.41,10.4,6
"1908",7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,7
"2046",8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5
"2913",6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7
"1031",7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6
"2965",5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,5
"1612",8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,6
"1436",6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,5
"104",7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5
"1708",6.8,0.26,0.29,16.95,0.056,48,179,0.9998,3.45,0.4,9.6,5
"1240",10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5
"4121",7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9,5
"2373",6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4
"2389",7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4
"1453",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
"1330",8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5
"1460",7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,6
"3028",7.4,0.32,0.22,11.7,0.035,44,150,0.99578,3.1,0.45,10.4,5
"3582",7.2,0.26,0.24,7,0.023,19,130,0.99176,3.14,0.49,12.8,7
"3360",6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6
"3339",7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6
"96",7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6
"3128",7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,5
"2444",6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5
"1344",6.6,0.25,0.31,12.4,0.059,52,181,0.9984,3.51,0.47,9.8,6
"4435",7.2,0.24,0.24,1.7,0.045,18,161,0.99196,3.25,0.53,11.2,6
"2001",6.8,0.31,0.09,1.4,0.04,56,145,0.9922,3.19,0.46,10,5
"3687",7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5
"2126",6,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1,5
"1826",7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,5
"4048",6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,6
"3465",6.9,0.29,0.41,7.8,0.046,52,171,0.99537,3.12,0.51,9.6,5
"3811",6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,3
"4084",6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,5
"386",5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
"2048",6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5
"1508",7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10,6
"2435",8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6
"303",6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6
"152",7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,6
"2113",6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
"3086",8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,6
"1786",8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6
"1281",7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6
"3112",6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7
